时间,策略权益,策略单位净值,基准单位净值
2025-04-08,760647.8363,0.760648,1.064016923503383
2025-04-09,760647.8363,0.760648,1.0745194434022647
2025-04-10,760647.8363,0.760648,1.088602583088347
2025-04-11,760647.8363,0.760648,1.0930913929629593
2025-04-14,760647.8363,0.760648,1.0956053025290737
2025-04-15,760647.8363,0.760648,1.0962151926407255
2025-04-16,760647.8363,0.760648,1.0995918259569593
2025-04-17,760647.8363,0.760648,1.0994174508954084
2025-04-18,760647.8363,0.760648,1.099505148465224
2025-04-21,760647.8363,0.760648,1.1031067818608784
2025-04-22,759361.6503,0.759362,1.1028361988638138
2025-04-23,760641.6503,0.760642,1.1036902082326188
2025-04-24,760741.6503,0.760742,1.1029542947604214
2025-04-25,761249.928,0.76125,1.1037226467155716
2025-04-28,761249.928,0.76125,1.1021561273802394
2025-04-29,761249.928,0.76125,1.1002494265776797
2025-04-30,761249.928,0.76125,1.0989360906218713
2025-05-06,761249.928,0.76125,1.1100030342951124
2025-05-07,761249.928,0.76125,1.1167310612813655
2025-05-08,761249.928,0.76125,1.1229300174850125
2025-05-09,765304.6637,0.765305,1.1209657259885497
2025-05-12,770632.6637,0.770633,1.1339215919606656
2025-05-13,764952.6637,0.764953,1.1355679105469632
2025-05-14,782828.6637,0.782829,1.1492522579938345
2025-05-15,781636.6637,0.781637,1.1387566454808107
2025-05-16,774484.6637,0.774485,1.1334773625292505
2025-05-19,760424.6637,0.760425,1.1299974098760288
2025-05-20,763232.6637,0.763233,1.1361252229198489
2025-05-21,761220.6637,0.761221,1.1414326017362488
2025-05-22,760832.6637,0.760833,1.140699427902324
2025-05-23,757872.6637,0.757873,1.1314922031497738
2025-05-26,749032.6637,0.749033,1.1250314949107285
2025-05-27,747806.5502,0.747807,1.1189956054744852
2025-05-28,747806.5502,0.747807,1.118074533258174
2025-05-29,747806.5502,0.747807,1.1246214526675464
2025-05-30,747806.5502,0.747807,1.1192390835397026
2025-06-03,747806.5502,0.747807,1.1226724914873756
2025-06-04,747806.5502,0.747807,1.1275485230012599
2025-06-05,747806.5502,0.747807,1.130117021317213
2025-06-06,747806.5502,0.747807,1.1290760753539257
